colummn
ABS
AFR355H1
ANT
ARA212Y5
ARC
CCT109H5
COG250Y1
CIN
CLA
CSC404H1
CSE270H1
DRM
EAS
ECO
ECMA
EMU230H1
ENG
ENT200H1
ENV307H1
ENV320H1
ENV335H1
ENV347H1
ENV350H1
ENV422H1
ERI260H1
ERI360H1
ESS104H1
EST
ETH
FAH
FAS143H1
FIN
FRE
FSL
FOR302H1
FOR303H1
FOR421H1
GER
GGR124H1
GGR220H1
GGR222H1
GGR225H1
GGR251H1
GGR252H1
GGR252H5
GGR271H1
GGR314H1
GGR323H1
GGR329H1
GGR332H1
GGR335H1
GGR343H1
GGR356H1
GGR424H1
GRK
HIS
HPS
HUM
HUN
IAS
INI
IRE260H1
ITA
JAL
JEF
JGE378H1
JHP
JLP
JMC
JPE250Y1
JPH441H1
JPJ
JPP
JUP
JGI346H1
LAT
LIN
MEI
MGEA01H3
MGEA02H3
MGEA05H3
MGEA06H3
MGT
MGM
MGR101H1
MUS
NEW
NMC
NML
PHL
PMU299Y
POL
PRT
RLG
RSM295Y1
SAS
SLA
SMC
SOC
SPA
TMU130H1
TMU131H1
TRN
UNI
URD212Y5
URD312Y5
USA
VIC
VPMA93H3
WDW
WME271H1
APS120
TEP234
APS305
APS310
TEP323
TEP343
TEP432
APS440
APS446
TEP448
APS510
APS511
TEP1011
CHE488
CIV488
ECE488
MIE488
MSE488
JRE300
JRE410
JRE420
